gaelia47,714,1262
hr1978b,507,917
AnotherBloody,82,107
Left_of_Labor,5122,2420
Medicayy,749,933
wayne_offer,247,579
BloggerMe3,2460,4251
paddybts,942,338
TrumpMytrump2,,
mryansisland,2618,2660
kezhall,1151,2425
ausblueprint,130,391
judyfree10,1213,24
Olfella,565,474
MadalynByrd5,,
Reggi05,247,830
tyrelle123,2552,1959
SandraEckersley,2959,70
sammmw8,682,1139
TaxEnuffAlready,3963,2821
scientificusrex,620,579
FightingTories,4616,1858
un_diverted,1405,1950
KathyCullen1,139,120
SageofAbbott,103,114
1petermartin,23116,910
aquaticgecko,41,56
andy_8005,55,156
008moonside,877,1224
HooncheeW,844,1378
HeerKittee,1210,2464
Uberfilth,2735,4502
markjs1,7675,5270
claireloumccann,112,401
surround77,1622,1273
ballgameskeith,594,1196
MundyMungbean,73,154
margelliott6,172,730
ACrimTradeUnion,151,165
PutLaborLast,5276,5744
KitttyKattz,1594,2951
newpoliticsAU,975,1342
jbaldwin60,184,510
FeralislandMick,5745,6099
sirrockstone,4340,4980
sheepRdangerous,403,597
420Tasmania,7518,6727
MundayJessica,852,1608
43a6f0ce5dac4ea,3155,3438
EmmaWhiteSP,790,1013
Peter_OTool,448,199
Bf99Floyd,403,365
VeteranDave,287,250
couriermail,138559,1136
SCH451,676,447
kierans777,209,189
WorldOfMarkyD,2650,1389
broomstick33,3968,4251
TasUnions,739,890
Laudafinem,1549,1166
Havingmysay2,326,295
jgsjfs5662,21,190
bojowbebeh,830,1883
StuWombat,24,20
kirk_osaurus,157,548
Phillip15584324,23,121
Ozlandscapes,2014,1983
elichrusos,330,578
AFettell,299,393
edumak8,1405,1259
ASJones17,259,2370
MinhKular,8988,4623
Suzanm19,39,47
MsRonnyB,8014,6545
Maxed100,812,53
pammy643,1068,2285
Biggy1883,4734,3585
Maintenonmadame,2218,2119
ElzoSarah,73,259
Perorationer,3512,2695
whiteyjackson,226,474
janeb69,982,496
BennerBevin,409,298
smithmeyerjen,1285,1418
Indian_two,1505,1227
josekilometers,402,889
CFMEUJohnSetka,5483,2611
PCKJ3627,3282,3589
nickchefb,412,831
kyotojoe1,148,211
SecularGovt,99,203
Robfromtaroona,3026,2118
kimmaree_tweet,7015,6066
nicolalynnn,296,1378
JRAlilin,103,123
TinfoilhatterOz,2590,3003
davidbewart,11944,12794
Mickygee_66,36,266
TerryWalls7,650,762
cpc8,4140,3907
john_ready,288,382
FragileLands,153,286
JohnWren1950,12180,8396
SaysBlueVelvet,128,401
WorkcoverVictim,877,1221
tloomis1992,84,9
JamiGardner18,,
Sunnyboy747,1190,1339
debra_mcgrath,265,604
OneNationPerth,109,265
NoteworthyWifey,15280,16810
OldCroaky,589,2981
lydia_shelly,3880,2412
L_DeWeaver,4181,4065
OzMAGA777,175,480
sallymcmanus,13500,3267
ClownFishTaylor,737,1228
ZainuddinZainil,374,322
YngLiberalGirl,17580,16119
steveway7,518,1282
BBBubby77,748,902
TrumpismAussies,1139,909
Blinkybill18,6,66
bugwannostra,11740,9135
All_Aussie,235,181
OzSheela,576,706
goforgold80s,6218,6508
UptightGamer,1039,1225
BronniesDogPack,1099,2462
mwiv31l,122,233
Arbawi8,3228,3577
Drone_en,4071,2464
questionforall,7766,1
Angie_in_Qld,277,264
jurylady5,13545,13674
DemocritusN,112,123
tasplnpsg,663,637
yvonne_rieper,152,227
InfoSecurity99,4275,3
Hospitalityed,3627,1024
GoldSuzie,236,204
jamesmcmenamin1,1502,2108
SophSEofSA,381,422
drsnerk,448,257
KeliyTCG,53,2283
lstevenschef,64,161
dand25,24,73
sectest9,11408,3
CVarigos,61,285
nikiromeyn7,305,1177
GrangerBallant2,8,30
ozpsych,2220,2669
mokane8,274,757
OttLegalRebels,52987,13065
SuzieBobridge,2,28
sammonford,481,850
dazzlerrange,490,534
Qldaah,11016,9489
SarahRubyWrites,1326,2353
FCoastArt,310,614
dynawilly,470,423
davrosz,18978,14904
ToxOfOz,479,405
smokeymcphee,761,204
hahpty,67,132
net11e,926,934
IPacInstitute,16303,17539
BiseAhmed,466,1264
pedwards2014,2283,1268
StandUpforAustr,173,485
JenBFootscray,484,1043
CarmelNunan,2778,3826
calumsanderson,529,2314
giddyupbill,711,165
LNPSNIGHTMARE,2132,2117
pohutukawa,471,48
Aqua_Man_Om,162,249
Talaolp,3618,3264
cunningham_cch,1488,5000
rebeccaswee,35,19
adelaidebeatric,1602,1970
Firedingo,338,308
sggburke,593,461
aparker349_andy,84,138
LelHulagirl63,3452,3433
egadsthefuzz,135,323
GaryFallon2,3662,2479
xxyyzzsmith,72,24
spokerealshayma,20,98
TaodeHaas,5500,1598
Marlsclayfield,809,660
FryGerard,1966,2115
johndory49,17530,8120
cscviews,2528,2591
LovisoNRaY,1709,1652
RealCranky,6277,6422
marymarjorie125,354,553
djebel,1141,1079
kmbsk80,1328,1699
SarahEHoll,1138,2084
wired_we,166,319
MarkMead4,37,100
Gilliganista,2499,4578
etalbert,2709,4302
LadyPoop2,692,807
ldundas96,810,939
lawnatural,427,454
JeffDowsing,377,340
G_Nomes74,71,556
KimberlyBodens2,1,15
SteveBrown_2011,864,2440
hasuwhagos1972,,
bmmsmum,187,934
SandyJo49074484,9,26
SirThomasWynn,401,55
Faustus_Socinus,1699,1424
rac_sydney,3554,1617
mindycroz,81,149
DanielDowling5,536,1326
jaqtash_fox,45,660
GreenAussie1,1394,2369
nobby15,4307,2035
pyrmontvillage,11615,8098
LNPvoterfail,306,549
danielksloan,409,416
oakenchair,162,276
TrufflesTurnbul,163,36
alexpados,775,1615
phillipwmoore49,677,1194
telesynth_hot,5087,5006
polley_helen,3937,1232
blanketcrap,19573,18992
hoprea,3626,1580
jBonicaF10,32,82
Confidential_CC,878,88
Oceanselkie,952,1124
davwain1,65,33
ListenSport,250,123
Chargersbride,1022,1020
CloudsCreek,3282,3765
mrhack3r,100,131
1Hendorable1,1298,1440
MAL_TURNBULL,1991,339
unionsaustralia,16502,12039
TheStooge2,826,2194
lclmnts,335,500
Tailgator1,357,612
wanabbillionair,195,558
Tom_in_Oz_,568,25
GregWRoss,278,361
steve1231231231,564,4998
lozfor,1991,2275
n2tw2,64,138
mandygunn61,307,1375
nickbarnesaus,1708,2310
ozjust11,542,1170
GoldCoastBlog,2092,933
suzlette333,6028,5796
Lbirdsville,267,444
Sandra_Sully,126791,6745
